,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,method,vtype,n_obs,clinton,trump,both,other,poll_type,p_clinton,n_clinton,n_respondents
389,michigan,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,1928.0,43.0,40.0,83.0,5.0,0,0.5180722891566265,829.04,1600.24
390,michigan,2016-10-22,2016-10-24,2,2016-10-23,42,6,EPIC-MRA/Detroit Free Press/WXYZ-TV ,Live Phone,Likely Voters,600.0,45.0,37.0,82.0,1.0,0,0.5487804878048781,270.0,492.0
392,michigan,2016-10-16,2016-10-19,3,2016-10-17,42,0,Marketing Resource Group (R),Live Phone,Likely Voters,600.0,41.0,36.0,77.0,8.0,0,0.5324675324675324,246.0,462.0
393,michigan,2016-10-06,2016-10-17,11,2016-10-11,41,1,Ipsos/Reuters,Internet,Likely Voters,1370.0,40.0,36.0,76.0,9.0,0,0.5263157894736842,548.0,1041.2
395,michigan,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,1331.0,51.0,42.0,93.0,0.0,0,0.5483870967741935,678.81,1237.83
397,michigan,2016-10-10,2016-10-11,1,2016-10-10,41,0,Glengariff/Detroit News/WDIV,Live Phone,Likely Voters,600.0,47.0,33.0,80.0,5.0,0,0.5875,282.0,480.0
399,michigan,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,687.0,45.0,38.0,83.0,0.0,0,0.5421686746987951,309.15,570.21
400,michigan,2016-10-01,2016-10-03,2,2016-10-02,39,6,EPIC-MRA/Detroit Free Press/WXYZ-TV ,Live Phone,Likely Voters,600.0,46.0,36.0,82.0,0.0,0,0.5609756097560976,276.0,492.0
402,michigan,2016-09-27,2016-09-28,1,2016-09-27,39,1,Glengariff/Detroit News/WDIV,Live Phone,Likely Voters,600.0,46.0,39.0,85.0,4.0,0,0.5411764705882353,276.0,510.0
404,michigan,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,991.0,44.0,44.0,88.0,0.0,0,0.5,436.04,872.08
405,michigan,2016-09-10,2016-09-13,3,2016-09-11,36,6,EPIC-MRA/Detroit Free Press/WXYZ-TV ,Live Phone,Likely Voters,600.0,42.0,38.0,80.0,0.0,0,0.525,252.0,480.0
407,michigan,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,2428.0,46.0,44.0,90.0,0.0,1,0.5111111111111111,1116.88,2185.2
409,michigan,2016-08-22,2016-08-24,2,2016-08-23,34,1,Suffolk,Live Phone,Likely Voters,500.0,44.0,37.0,81.0,3.0,0,0.5432098765432098,220.0,405.0
410,michigan,2016-07-30,2016-08-04,5,2016-08-01,31,0,EPIC-MRA/Detroit Free Press/WXYZ-TV ,Live Phone,Likely Voters,600.0,46.0,36.0,82.0,0.0,0,0.5609756097560976,276.0,492.0
412,michigan,2016-07-30,2016-08-01,2,2016-07-31,30,6,Glengariff/Detroit News/WDIV,Live Phone,Likely Voters,600.0,41.0,32.0,73.0,4.0,0,0.5616438356164384,246.0,438.0
413,michigan,2016-07-13,2016-07-15,2,2016-07-14,28,3,CBS/YouGov,Internet,Likely Voters,1201.0,42.0,39.0,81.0,11.0,0,0.5185185185185185,504.42,972.81
414,michigan,2016-07-11,2016-07-15,4,2016-07-13,28,2,Marketing Resource Group (R),Live Phone,Likely Voters,800.0,34.0,29.0,63.0,4.0,0,0.5396825396825397,272.0,504.0
415,michigan,2016-07-05,2016-07-11,6,2016-07-08,27,4,Mitchell Research (R)/Fox 2 Detroit/(MAHP),IVR/Live Phone,Likely Voters,600.0,40.0,34.0,74.0,0.0,0,0.5405405405405406,240.0,444.0
416,michigan,2016-07-07,2016-07-08,1,2016-07-07,27,3,Gravis Marketing,Automated Phone,Registered Voters,1562.0,48.0,41.0,89.0,11.0,1,0.5393258426966292,749.76,1390.18
418,michigan,2016-06-11,2016-06-20,9,2016-06-15,24,2,GQR (D-Democracy Corps/Women's Voices Women Vote),Live Phone,Likely Voters,300.0,50.0,39.0,89.0,6.0,0,0.5617977528089888,150.0,267.0
420,michigan,2016-05-24,2016-05-26,2,2016-05-25,21,2,Glengariff/Detroit News/WDIV,Live Phone,Likely Voters,600.0,43.0,39.0,82.0,4.0,0,0.524390243902439,258.0,492.0
432,minnesota,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,928.0,47.0,37.0,84.0,12.0,0,0.5595238095238095,436.16,779.52
433,minnesota,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,316.0,50.0,47.0,97.0,3.0,0,0.5154639175257731,158.0,306.52
434,minnesota,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,881.0,41.0,37.0,78.0,0.0,0,0.5256410256410257,361.21,687.18
435,minnesota,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,671.0,47.0,37.0,84.0,13.0,0,0.5595238095238095,315.37,563.64
436,minnesota,2016-10-22,2016-10-25,3,2016-10-23,42,6,SurveyUSA/KSTP-TV,IVR/Online,Likely Voters,656.0,49.0,39.0,88.0,10.0,0,0.5568181818181818,321.44,577.28
438,minnesota,2016-10-20,2016-10-22,2,2016-10-21,42,4,Mason-Dixon/Star Tribune,Live Phone,Likely Voters,625.0,47.0,39.0,86.0,8.0,0,0.5465116279069767,293.75,537.5
439,minnesota,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,720.0,42.0,38.0,80.0,0.0,0,0.525,302.4,576.0
440,minnesota,2016-09-16,2016-09-20,4,2016-09-18,37,6,SurveyUSA/KSTP-TV,IVR/Online,Likely Voters,625.0,46.0,39.0,85.0,9.0,0,0.5411764705882353,287.5,531.25
442,minnesota,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,641.0,44.0,34.0,78.0,0.0,0,0.5641025641025641,282.04,499.98
443,minnesota,2016-09-12,2016-09-14,2,2016-09-13,37,1,Mason-Dixon/Star Tribune,Live Phone,Registered Voters,625.0,44.0,38.0,82.0,8.0,1,0.5365853658536586,275.0,512.5
444,minnesota,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,2054.0,49.0,40.0,89.0,0.0,1,0.550561797752809,1006.46,1828.06
449,mississippi,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,676.0,40.0,48.0,88.0,0.0,0,0.45454545454545453,270.4,594.88
450,mississippi,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,313.0,42.0,55.0,97.0,0.0,0,0.4329896907216495,131.46,303.61
451,mississippi,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,390.0,33.0,52.0,85.0,0.0,0,0.38823529411764707,128.7,331.5
452,mississippi,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,800.0,42.0,50.0,92.0,0.0,0,0.45652173913043476,336.0,736.0
453,mississippi,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,405.0,40.0,51.0,91.0,0.0,0,0.43956043956043955,162.0,368.55
454,mississippi,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,348.0,37.0,51.0,88.0,0.0,0,0.42045454545454547,128.76,306.24
455,mississippi,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,823.0,46.0,48.0,94.0,0.0,1,0.48936170212765956,378.58,773.62
458,missouri,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,774.0,39.0,48.0,87.0,11.0,0,0.4482758620689655,301.86,673.38
459,missouri,2016-10-27,2016-11-01,5,2016-10-29,43,5,DFM Research (D-SMART),Live Phone,Likely Voters,508.0,38.0,47.0,85.0,4.0,0,0.4470588235294118,193.04,431.8
460,missouri,2016-10-28,2016-10-31,3,2016-10-29,43,5,Monmouth University,Live Phone,Likely Voters,405.0,38.0,52.0,90.0,7.0,0,0.4222222222222222,153.9,364.5
461,missouri,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,374.0,44.0,53.0,97.0,4.0,0,0.4536082474226804,164.56,362.78
462,missouri,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,593.0,42.0,48.0,90.0,0.0,0,0.4666666666666667,249.06,533.7
463,missouri,2016-10-24,2016-10-26,2,2016-10-25,43,1,Mason-Dixon/Post-Dispatch,Live Phone,Likely Voters,625.0,42.0,47.0,89.0,4.0,0,0.47191011235955055,262.5,556.25
464,missouri,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,797.0,37.0,49.0,86.0,12.0,0,0.43023255813953487,294.89,685.42
465,missouri,2016-10-09,2016-10-11,2,2016-10-10,41,0,Monmouth University,Live Phone,Likely Voters,406.0,41.0,46.0,87.0,8.0,0,0.47126436781609193,166.46,353.22
466,missouri,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,871.0,37.0,49.0,86.0,0.0,0,0.43023255813953487,322.27,749.06
467,missouri,2016-09-21,2016-09-23,2,2016-09-22,38,3,CBS/YouGov,Internet,Likely Voters,1087.0,37.0,46.0,83.0,9.0,0,0.4457831325301205,402.19,902.21
468,missouri,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,693.0,36.0,53.0,89.0,0.0,0,0.4044943820224719,249.48,616.77
469,missouri,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,1801.0,41.0,51.0,92.0,0.0,1,0.44565217391304346,738.41,1656.92
471,missouri,2016-08-26,2016-08-27,1,2016-08-26,34,4,PPP (D-NELP) ,IVR/Online,Likely Voters,1055.0,41.0,47.0,88.0,0.0,0,0.4659090909090909,432.55,928.4
472,missouri,2016-08-19,2016-08-22,3,2016-08-20,33,5,Monmouth University,Live Phone,Likely Voters,401.0,43.0,44.0,87.0,9.0,0,0.4942528735632184,172.43,348.87
473,missouri,2016-08-08,2016-08-09,1,2016-08-08,32,0,PPP (D-Protect Missouri Families),IVR/Online,Likely Voters,947.0,42.0,45.0,87.0,0.0,0,0.4827586206896552,397.74,823.89
474,missouri,2016-07-23,2016-07-24,1,2016-07-23,29,5,Mason-Dixon,Live Phone,Likely Voters,625.0,41.0,40.0,81.0,10.0,0,0.5061728395061729,256.25,506.25
475,missouri,2016-07-20,2016-07-24,4,2016-07-22,29,4,SurveyUSA/KSDK,Mixed,Likely Voters,1943.0,37.0,47.0,84.0,8.0,0,0.44047619047619047,718.91,1632.12
476,missouri,2016-07-11,2016-07-12,1,2016-07-11,28,0,PPP (D),IVR/Online,Likely Voters,959.0,36.0,46.0,82.0,8.0,0,0.43902439024390244,345.24,786.38
481,montana,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,376.0,34.0,51.0,85.0,0.0,0,0.4,127.84,319.6
482,montana,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,340.0,41.0,55.0,96.0,0.0,0,0.4270833333333333,139.4,326.4
483,montana,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,549.0,35.0,51.0,86.0,0.0,0,0.4069767441860465,192.15,472.14
484,montana,2016-10-03,2016-10-10,7,2016-10-06,40,3,MSU-Billings,Live Phone,Adults,590.0,27.0,43.0,70.0,0.0,2,0.38571428571428573,159.3,413.0
485,montana,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,999.0,38.0,51.0,89.0,0.0,1,0.42696629213483145,379.62,889.11
487,nebraska,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,599.0,34.0,50.0,84.0,0.0,0,0.40476190476190477,203.66,503.16
488,nebraska,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,334.0,38.0,58.0,96.0,0.0,0,0.3958333333333333,126.92,320.64
489,nebraska,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,332.0,35.0,50.0,85.0,0.0,0,0.4117647058823529,116.2,282.2
490,nebraska,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,513.0,32.0,51.0,83.0,0.0,0,0.3855421686746988,164.16,425.79
491,nebraska,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,356.0,32.0,48.0,80.0,0.0,0,0.4,113.92,284.8
492,nebraska,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,267.0,32.0,51.0,83.0,0.0,0,0.3855421686746988,85.44,221.61
493,nebraska,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,983.0,38.0,49.0,87.0,0.0,1,0.4367816091954023,373.54,855.21
495,nevada,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,937.0,43.0,44.0,87.0,9.0,0,0.4942528735632184,402.91,815.19
496,nevada,2016-10-28,2016-11-01,4,2016-10-30,43,6,Lucid/The Times-Picayune,Internet,Likely Voters,892.0,45.0,38.0,83.0,9.0,0,0.5421686746987951,401.4,740.36
497,nevada,2016-10-28,2016-11-01,4,2016-10-30,43,6,JMC Analytics (R)/8 News NOW,Live Phone,Likely Voters,600.0,45.0,45.0,90.0,7.0,0,0.5,270.0,540.0
498,nevada,2016-10-27,2016-11-01,5,2016-10-29,43,5,CNN,Live Phone,Likely Voters,790.0,43.0,49.0,92.0,7.0,0,0.4673913043478261,339.7,726.8
500,nevada,2016-10-30,2016-10-30,0,2016-10-30,43,6,Remington Research Group (R)/Axiom Strategies,IVR/Live Phone,Likely Voters,787.0,44.0,48.0,92.0,5.0,0,0.4782608695652174,346.28,724.04
501,nevada,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,314.0,48.0,46.0,94.0,6.0,0,0.5106382978723404,150.72,295.16
502,nevada,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,391.0,40.0,40.0,80.0,0.0,0,0.5,156.4,312.8
503,nevada,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,1041.0,44.0,44.0,88.0,10.0,0,0.5,458.04,916.08
504,nevada,2016-10-20,2016-10-24,4,2016-10-22,42,5,NBC/WSJ/Marist,Live Phone,Likely Voters,707.0,45.0,45.0,90.0,9.0,0,0.5,318.15,636.3
506,nevada,2016-10-20,2016-10-23,3,2016-10-21,42,4,Bendixen & Amandi-Las Vegas Review-Journal,Live Phone,Likely Voters,800.0,48.0,41.0,89.0,7.0,0,0.5393258426966292,384.0,712.0
507,nevada,2016-10-20,2016-10-22,2,2016-10-21,42,4,Remington Research Group (R)/Axiom Strategies,IVR/Live Phone,Likely Voters,1332.0,44.0,47.0,91.0,6.0,0,0.4835164835164835,586.08,1212.12
508,nevada,2016-10-20,2016-10-22,2,2016-10-21,42,4,Rasmussen/KTNV,IVR/Online,Likely Voters,826.0,46.0,42.0,88.0,7.0,0,0.5227272727272727,379.96,726.88
509,nevada,2016-10-14,2016-10-17,3,2016-10-15,41,5,Monmouth University,Live Phone,Likely Voters,413.0,47.0,40.0,87.0,10.0,0,0.5402298850574713,194.11,359.31
510,nevada,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,884.0,47.0,46.0,93.0,0.0,0,0.5053763440860215,415.48,822.12
512,nevada,2016-10-10,2016-10-15,5,2016-10-12,41,2,CNN,Live Phone,Likely Voters,698.0,46.0,44.0,90.0,9.0,0,0.5111111111111111,321.08,628.2
514,nevada,2016-10-12,2016-10-14,2,2016-10-13,41,3,CBS/YouGov,Internet,Likely Voters,996.0,46.0,40.0,86.0,9.0,0,0.5348837209302325,458.16,856.56
515,nevada,2016-10-10,2016-10-13,3,2016-10-11,41,1,JMC Analytics (R)/8 News NOW,Live Phone,Likely Voters,600.0,43.0,41.0,84.0,7.0,0,0.5119047619047619,258.0,504.0
516,nevada,2016-10-10,2016-10-11,1,2016-10-10,41,0,Clarity (D-End Citizens United),IVR/Live Phone,Likely Voters,1010.0,43.0,43.0,86.0,6.0,0,0.5,434.3,868.6
517,nevada,2016-10-10,2016-10-11,1,2016-10-10,41,0,PPP (D-Cortez Masto),IVR/Online,Likely Voters,986.0,47.0,43.0,90.0,0.0,0,0.5222222222222223,463.42,887.4
518,nevada,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,620.0,46.0,42.0,88.0,0.0,0,0.5227272727272727,285.2,545.6
519,nevada,2016-09-27,2016-10-02,5,2016-09-29,39,3,Hart (D)/UNLV,Live Phone,Registered Voters,700.0,44.0,41.0,85.0,9.0,1,0.5176470588235295,308.0,595.0
521,nevada,2016-09-27,2016-09-29,2,2016-09-28,39,2,Suffolk,Live Phone,Likely Voters,500.0,44.0,38.0,82.0,12.0,0,0.5365853658536586,220.0,410.0
522,nevada,2016-09-18,2016-09-20,2,2016-09-19,38,0,FOX,Live Phone,Likely Voters,704.0,40.0,43.0,83.0,12.0,0,0.4819277108433735,281.6,584.32
524,nevada,2016-09-10,2016-09-19,9,2016-09-14,37,2,GQR (D-Democracy Corps/WVWV),Live Phone,Likely Voters,400.0,42.0,42.0,84.0,10.0,0,0.5,168.0,336.0
525,nevada,2016-09-16,2016-09-18,2,2016-09-17,37,5,Rasmussen/KTNV,IVR/Online,Likely Voters,800.0,39.0,42.0,81.0,14.0,0,0.48148148148148145,312.0,648.0
526,nevada,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,549.0,38.0,41.0,79.0,0.0,0,0.4810126582278481,208.62,433.71
527,nevada,2016-09-12,2016-09-14,2,2016-09-13,37,1,Insights West,Internet,Likely Voters,398.0,40.0,42.0,82.0,8.0,0,0.4878048780487805,159.2,326.36
528,nevada,2016-09-11,2016-09-13,2,2016-09-12,37,0,Monmouth University,Live Phone,Likely Voters,406.0,42.0,44.0,86.0,9.0,0,0.4883720930232558,170.52,349.16
529,nevada,2016-09-06,2016-09-08,2,2016-09-07,36,2,NBC/WSJ/Marist,Live Phone,Likely Voters,627.0,45.0,44.0,89.0,7.0,0,0.5056179775280899,282.15,558.03
531,nevada,2016-09-06,2016-09-07,1,2016-09-06,36,1,PPP (D)/PNA,IVR/Online,Likely Voters,815.0,45.0,42.0,87.0,0.0,0,0.5172413793103449,366.75,709.05
532,nevada,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,2776.0,48.0,43.0,91.0,0.0,1,0.5274725274725275,1332.48,2526.16
534,nevada,2016-08-15,2016-08-17,2,2016-08-16,33,1,Suffolk,Live Phone,Likely Voters,500.0,44.0,42.0,86.0,10.0,0,0.5116279069767442,220.0,430.0
535,nevada,2016-08-02,2016-08-05,3,2016-08-03,31,2,CBS/YouGov,Internet,Likely Voters,993.0,43.0,41.0,84.0,9.0,0,0.5119047619047619,426.99,834.12
536,nevada,2016-07-29,2016-07-31,2,2016-07-30,30,5,Rasmussen/KTNV,IVR/Online,Likely Voters,750.0,41.0,40.0,81.0,14.0,0,0.5061728395061729,307.5,607.5
537,nevada,2016-07-22,2016-07-24,2,2016-07-23,29,5,Rasmussen/KTNV,IVR/Online,Likely Voters,750.0,38.0,43.0,81.0,12.0,0,0.4691358024691358,285.0,607.5
538,nevada,2016-07-07,2016-07-10,3,2016-07-08,27,4,Monmouth University,Live Phone,Likely Voters,408.0,45.0,41.0,86.0,5.0,0,0.5232558139534884,183.6,350.88
539,nevada,2016-06-11,2016-06-20,9,2016-06-15,24,2,GQR (D-Democracy Corps/Women's Voices Women Vote),Live Phone,Likely Voters,300.0,45.0,47.0,92.0,4.0,0,0.4891304347826087,135.0,276.0
541,nevada,2016-05-24,2016-05-25,1,2016-05-24,21,1,Gravis Marketing,Automated Phone,Registered Voters,1637.0,42.0,47.0,89.0,11.0,1,0.47191011235955055,687.54,1456.93
544,new hampshire,2016-10-31,2016-11-02,2,2016-11-01,44,1,Suffolk/Boston Globe,Live Phone,Likely Voters,500.0,42.0,42.0,84.0,7.0,0,0.5,210.0,420.0
545,new hampshire,2016-10-31,2016-11-02,2,2016-11-01,44,1,ARG,Live Phone,Likely Voters,600.0,43.0,48.0,91.0,5.0,0,0.4725274725274725,258.0,546.0
546,new hampshire,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,658.0,47.0,37.0,84.0,13.0,0,0.5595238095238095,309.26,552.72
547,new hampshire,2016-10-29,2016-11-01,3,2016-10-30,43,6,MassINC/WBUR,Live Phone,Likely Voters,500.0,39.0,40.0,79.0,13.0,0,0.4936708860759494,195.0,395.0
549,new hampshire,2016-10-26,2016-10-30,4,2016-10-28,43,4,UNH/WMUR,Live Phone,Likely Voters,618.0,46.0,39.0,85.0,10.0,0,0.5411764705882353,284.28,525.3
550,new hampshire,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,307.0,50.0,47.0,97.0,4.0,0,0.5154639175257731,153.5,297.79
551,new hampshire,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,264.0,44.0,40.0,84.0,0.0,0,0.5238095238095238,116.16,221.76
552,new hampshire,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,861.0,49.0,35.0,84.0,14.0,0,0.5833333333333334,421.89,723.24
553,new hampshire,2016-10-22,2016-10-25,3,2016-10-23,42,6,Monmouth University,Live Phone,Likely Voters,401.0,46.0,42.0,88.0,9.0,0,0.5227272727272727,184.46,352.88
554,new hampshire,2016-10-20,2016-10-24,4,2016-10-22,42,5,NBC/WSJ/Marist,Live Phone,Likely Voters,768.0,47.0,39.0,86.0,12.0,0,0.5465116279069767,360.96,660.48
556,new hampshire,2016-10-17,2016-10-21,4,2016-10-19,42,2,UMass Amherst/WBZ-TV/YouGov,Internet,Likely Voters,772.0,43.0,38.0,81.0,16.0,0,0.5308641975308642,331.96,625.32
557,new hampshire,2016-10-11,2016-10-17,6,2016-10-14,41,4,UNH/WMUR,Live Phone,Likely Voters,755.0,49.0,34.0,83.0,15.0,0,0.5903614457831325,369.95,626.65
558,new hampshire,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,569.0,50.0,43.0,93.0,0.0,0,0.5376344086021505,284.5,529.17
560,new hampshire,2016-10-10,2016-10-12,2,2016-10-11,41,1,MassINC/WBUR,Live Phone,Likely Voters,501.0,41.0,38.0,79.0,14.0,0,0.5189873417721519,205.41,395.79
562,new hampshire,2016-10-07,2016-10-11,4,2016-10-09,40,6,UMass Lowell/7 News,Live Phone,Likely Voters,517.0,45.0,39.0,84.0,13.0,0,0.5357142857142857,232.65,434.28
563,new hampshire,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,293.0,49.0,40.0,89.0,0.0,0,0.550561797752809,143.57,260.77
564,new hampshire,2016-10-03,2016-10-05,2,2016-10-04,40,1,Suffolk/Boston Globe,Live Phone,Likely Voters,500.0,44.0,42.0,86.0,6.0,0,0.5116279069767442,220.0,430.0
565,new hampshire,2016-09-29,2016-10-02,3,2016-09-30,39,4,GQR (Save the Children Action Network),Live Phone,Likely Voters,500.0,46.0,38.0,84.0,10.0,0,0.5476190476190477,230.0,420.0
566,new hampshire,2016-09-27,2016-09-29,2,2016-09-28,39,2,MassINC/WBUR,Live Phone,Likely Voters,502.0,42.0,35.0,77.0,17.0,0,0.5454545454545454,210.84,386.54
568,new hampshire,2016-09-25,2016-09-27,2,2016-09-26,39,0,GBA Strategies (D-End Citizens United),Live Phone,Likely Voters,600.0,43.0,37.0,80.0,16.0,0,0.5375,258.0,480.0
570,new hampshire,2016-09-20,2016-09-25,5,2016-09-22,38,3,ARG,Live Phone,Registered Voters,522.0,46.0,42.0,88.0,7.0,1,0.5227272727272727,240.12,459.36
571,new hampshire,2016-09-17,2016-09-20,3,2016-09-18,37,6,Monmouth University,Live Phone,Likely Voters,400.0,47.0,38.0,85.0,12.0,0,0.5529411764705883,188.0,340.0
572,new hampshire,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,269.0,48.0,39.0,87.0,0.0,0,0.5517241379310345,129.12,234.03
573,new hampshire,2016-09-06,2016-09-08,2,2016-09-07,36,2,NBC/WSJ/Marist,Live Phone,Likely Voters,737.0,42.0,41.0,83.0,13.0,0,0.5060240963855421,309.54,611.71
575,new hampshire,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,1218.0,49.0,40.0,89.0,0.0,1,0.550561797752809,596.82,1084.02
577,new hampshire,2016-08-30,2016-08-31,1,2016-08-30,35,1,PPP (D- Constitutional Responsibility Project),IVR/Online,Likely Voters,585.0,46.0,41.0,87.0,0.0,0,0.5287356321839081,269.1,508.95
578,new hampshire,2016-08-26,2016-08-28,2,2016-08-27,34,5,PPP (D-NELP) ,IVR/Online,Likely Voters,977.0,46.0,40.0,86.0,0.0,0,0.5348837209302325,449.42,840.22
579,new hampshire,2016-08-20,2016-08-28,8,2016-08-24,34,2,UNH/WMUR,Live Phone,Likely Voters,433.0,45.0,36.0,81.0,14.0,0,0.5555555555555556,194.85,350.73
581,new hampshire,2016-08-10,2016-08-12,2,2016-08-11,32,3,CBS/YouGov,Internet,Likely Voters,990.0,45.0,36.0,81.0,11.0,0,0.5555555555555556,445.5,801.9
582,new hampshire,2016-08-07,2016-08-08,1,2016-08-07,31,6,Vox Populi (R-ESA Fund),IVR/Online,Registered Voters,820.0,41.0,31.0,72.0,14.0,1,0.5694444444444444,336.2,590.4
583,new hampshire,2016-07-29,2016-08-01,3,2016-07-30,30,5,MassINC/WBUR,Live Phone,Likely Voters,609.0,47.0,32.0,79.0,11.0,0,0.5949367088607594,286.23,481.11
584,new hampshire,2016-07-19,2016-07-21,2,2016-07-20,29,2,InsideSources/NH Journal,IVR/Live Phone,Registered Voters,1166.0,39.0,48.0,87.0,0.0,1,0.4482758620689655,454.74,1014.42
585,new hampshire,2016-07-09,2016-07-18,9,2016-07-13,28,2,UNH/WMUR,Live Phone,Adults,532.0,39.0,37.0,76.0,18.0,2,0.5131578947368421,207.48,404.32
587,new hampshire,2016-06-24,2016-06-28,4,2016-06-26,25,6,ARG,Live Phone,Registered Voters,533.0,47.0,42.0,89.0,4.0,1,0.5280898876404494,250.51,474.37
588,new hampshire,2016-06-22,2016-06-23,1,2016-06-22,25,2,PPP (D-Americans United for Change/Constitutional Responsibility Project) ,IVR/Online,Likely Voters,578.0,43.0,39.0,82.0,0.0,0,0.524390243902439,248.54,473.96
589,new hampshire,2016-06-11,2016-06-20,9,2016-06-15,24,2,GQR (D-Democracy Corps/Women's Voices Women Vote),Live Phone,Likely Voters,300.0,44.0,43.0,87.0,9.0,0,0.5057471264367817,132.0,261.0
